s,Pc
1159.0,0.16034
1160.0,0.16034
1161.0,0.16034
1162.0,0.16034
1163.0,0.16034
1164.0,0.16034
1165.0,0.16034
1166.0,0.16034
1167.0,0.16034
1168.0,0.16034
1169.0,0.16034
1170.0,0.16034
1171.0,0.16034
1172.0,0.16034
1173.0,0.16034
1174.0,0.16034
1175.0,0.16034
1176.0,0.16034
1177.0,0.16034
1178.0,0.16034
1179.0,0.16034
1180.0,0.16034
1181.0,0.16034
1182.0,0.16034
1183.0,0.16034
1184.0,0.16034
1185.0,0.16034
1186.0,0.16034
1187.0,0.16034
1188.0,0.16034
1189.0,0.16034
1190.0,0.16034
1191.0,0.16034
1192.0,0.16034
1193.0,0.16034
1194.0,0.16034
1195.0,0.16034
1196.0,0.16034
1197.0,0.16034
1198.0,0.16034
1199.0,0.16034
1200.0,0.16034
1201.0,0.16034
1202.0,0.16034
1203.0,0.16034
1204.0,0.16034
1205.0,0.16034
1206.0,0.16034
1207.0,0.16034
1208.0,0.16034
1209.0,0.16034
1210.0,0.16034
1211.0,0.16034
1212.0,0.16034
1213.0,0.16034
1214.0,0.16034
1215.0,0.16034
1216.0,0.16034
1217.0,0.16034
1218.0,0.16034
1219.0,0.16034
1220.0,0.16034
1221.0,0.16034
1222.0,0.16034
1223.0,0.16034
1224.0,0.16034
1225.0,0.16034
1226.0,0.16034
1227.0,0.16034
1228.0,0.16034
1229.0,0.16034
1230.0,0.16034
1231.0,0.16034
1232.0,0.16034
1233.0,0.16034
1234.0,0.16034
1235.0,0.16034
1236.0,0.16034
1237.0,0.16034
1238.0,0.16034
1239.0,0.16034
1240.0,0.16034
1241.0,0.16034
1242.0,0.16034
1243.0,0.16034
1244.0,0.16034
1245.0,0.16034
1246.0,0.16034
1247.0,0.16034
1248.0,0.16034
1249.0,0.16034
1250.0,0.16034
1251.0,0.16034
1252.0,0.16034
1253.0,0.16034
1254.0,0.16034
1255.0,0.16034
1256.0,0.16034
1257.0,0.16034
1258.0,0.16034
1259.0,0.16034
1260.0,0.16034
1261.0,0.16034
1262.0,0.16034
1263.0,0.16034
1264.0,0.16034
1265.0,0.16034
1266.0,0.16034
1267.0,0.16034
1268.0,0.16034
1269.0,0.16034
1270.0,0.16034
1271.0,0.16034
1272.0,0.16034
1273.0,0.16034
1274.0,0.16034
1275.0,0.16034
1276.0,0.16034
1277.0,0.16034
1278.0,0.16034
1279.0,0.16034
1280.0,0.16034
1281.0,0.16034
1282.0,0.16034
1283.0,0.16034
1284.0,0.16034
1285.0,0.16034
1286.0,0.16034
1287.0,0.16034
1288.0,0.16034
1289.0,0.16034
1290.0,0.16034
1291.0,0.16034
1292.0,0.16034
1293.0,0.16034
1294.0,0.16034
1295.0,0.16034
1296.0,0.16034
1297.0,0.16034
1298.0,0.16034
1299.0,0.16034
1300.0,0.16034
1301.0,0.16034
1302.0,0.16034
1303.0,0.16034
1304.0,0.16034
1305.0,0.16034
1306.0,0.16034
1307.0,0.16034
1308.0,0.16034
1309.0,0.16034
1310.0,0.16034
1311.0,0.16034
1312.0,0.16034
1313.0,0.16034
1314.0,0.16034
1315.0,0.16034
1316.0,0.16034
1317.0,0.16034
1318.0,0.16034
1319.0,0.16034
1320.0,0.16034
1321.0,0.16034
1322.0,0.16034
1323.0,0.16034
1324.0,0.16034
1325.0,0.16034
1326.0,0.16034
1327.0,0.16034
1328.0,0.16034
1329.0,0.16034
1330.0,0.16034
1331.0,0.16034
1332.0,0.16034
1333.0,0.16034
1334.0,0.16034
1335.0,0.16034
1336.0,0.16034
1337.0,0.16034
1338.0,0.16034
1339.0,0.16034
1340.0,0.16034
1341.0,0.16034
1342.0,0.16034
1343.0,0.16034
1344.0,0.16034
1345.0,0.16034
1346.0,0.16034
1347.0,0.16034
1348.0,0.16034
1349.0,0.16034
1350.0,0.16034
1351.0,0.16034
1352.0,0.16034
1353.0,0.16034
1354.0,0.16034
1355.0,0.16034
1356.0,0.16034
1357.0,0.16034
1358.0,0.16034
1359.0,0.16034
1360.0,0.16034
1361.0,0.16034
1362.0,0.16034
1363.0,0.16034
1364.0,0.16034
1365.0,0.16034
1366.0,0.16034
1367.0,0.16034
1368.0,0.16034
1369.0,0.16034
1370.0,0.16034
1371.0,0.16034
1372.0,0.16034
1373.0,0.16034
1374.0,0.16034
1375.0,0.16034
1376.0,0.16034
1377.0,0.16034
1378.0,0.16034
1379.0,0.16034
1380.0,0.16034
1381.0,0.16034
1382.0,0.16034
1383.0,0.16034
1384.0,0.16034
